NNo,GCVS,RA,Dec,RA (hourangle),Type,Max,Min I,Min II,,Epoch,Year,Period,M-m,Spectrum,References,Other desig. p.m.(as/yr),,Epoch,,Ident.,New type,GCVS
250219,HS    Com *,186.6,25.89,12.44,UV,15.5,21,,p,,,,,,8397,,,,,,,HS    Com
780619,V0619 Tau *,55.8591667,26.0419167,3.723944447,UV,15.5,20.7,,p,,,,,,10031 10031,,,1999.899,,2MASS,,V0619 Tau
780252,KS    Tau *,55.0454583,26.1113889,3.66969722,UV,14.4,20.9,,U,,,,,,05606 10031,,,1999.861,,2MASS,,KS    Tau
250184,FU    Com,187.7145417,27.1194167,12.51430278,UG,19.5,21,,p,,,,,,05378 USNO,,,1950.276,,A2.0,,FU    Com
250188,FY    Com,192.3166667,27.4227778,12.82111111,UG,19.5,21,,p,,,,,,5378,,,,?,Lit.,,FY    Com
250179,FP    Com *,186.8299583,27.6000833,12.45533055,UV,15.5,21,,p,,,,,,05378 2MASS,,-0.133,2000,,2MASS+pm,,FP    Com
250192,GI    Com,188.402125,28.1114722,12.56014167,UV,14.1,20.5,,p,,,,,,06337 06337,,,1950.276,,A2.0,,GI    Com
250186,FW    Com,190.8125,28.2930556,12.72083333,RR,19,20.2,,p,,,,,,5378,,,,,,,FW    Com
620370,V0370 Peg,358.663125,28.3816944,23.910875,UG,16.3,21,,R,,,,,,75208 75303,,,1993.645,,GCVS,,V0370 Peg
800096,BS    Tri,32.37425,28.5415,2.158283333,E+XM,17,21.5,,V,53666.543,,0.06685,6,pec(e),80108 80108,,,1997.846,,2MASS,,BS    Tri
830106,CE    UMa *,169.0458333,29.3605556,11.26972222,UG,15.5,21,,p,,,,,,5940,,,,,,,CE    UMa
250183,FT    Com,187.6958333,29.3741667,12.51305555,RR,19.5,20.2,,p,,,,,,5378,,,,,,,FT    Com
250187,FX    Com,191.1125,29.66,12.74083333,RR,19.7,20.5,,p,,,,,,5378,,,,,,,FX    Com
401247,V1247 Her,257.937875,30.22225,17.19585833,NL,21.44,21.67,,*,,,0.05579861,,,80030 80027,,,1950.462,,A2.0,,V1247 Her
120071,AR    Cnc *,140.5315417,31.0540833,9.368769447,UG+E,15.3,21.3,,V,,,0.2146,,pec(UG)+M4-5.5,N0325 72085,,,1955.229,,A2.0,UG+E,AR    Cnc
660072,AS    Psc,22.034875,31.24925,1.468991667,UG,16.5,21.5,,B,,,,,,67191 67190,,,2002.05,,Lit.,,AS    Psc
630512,V0512 Per,52.2657083,31.2677778,3.484380553,INT,20.22,23.8,,V,,,,,,71022 71022,,,1992.742,,GSC2.2,,V0512 Per
800028,TU    Tri,24.8155417,31.4041667,1.654369447,UGSU,14.8,20.4,,p,,,,,,08475 08475,,,1977.5,,B1.0,,TU    Tri
800039,UZ    Tri,29.60275,33.5252778,1.973516667,N,>14.2,21,,p,,,,,,69005 69005,,,1976,?,B1.0,,UZ    Tri
270097,BT    CrB,239.2372917,35.3935,15.94915278,EA,18.9,20.4,,V,53193.859,,0.0892,,pec(e),80405 USNO,,,1994.368,,GSC2.3,,BT    CrB
800120,CT    Tri,39.662875,35.9469722,2.644191667,UGSU,14.34,21,,V,,,,,,80122 80122,,,1987.752,,GSC2.3,,CT    Tri
470053,YZ    LMi *,141.6614167,36.4006667,9.444094447,EA,19.2,20.2,19.3,g',53473.72539,,0.01966,2,pec(e),80320 USNO,,,1998.305,,GSC2.3,,YZ    LMi
80654,V0654 Aur,112.294625,36.9773889,7.486308333,XM,19.5,20.7,,V,,,0.104,,,80278 USNO,,,1985.8,,B1.0,AM,V0654 Aur
630965,V0965 Per,47.817625,37.0840833,3.187841667,N,17.5,21,,*,55873,2011,,,pec(Nova),80608,,,2011.854,,Lit..,,V0965 Per
10744,V0744 And *,22.4169167,38.7029167,1.494461113,AM,15.13,20.05,,g,,,,,pec(e),81037,,0.001  0.005,2000,,SDSS,,V0744 And
10677,V0677 And,353.5962083,39.2398333,23.57308055,UGSU,18.2,21,,V,,,,,pec(e),80610 80630,,,1995.626,,GSC2.3,UGSU,V0677 And
80496,V0496 Aur,111.9675,40.7820833,7.4645,UG,15.7,21,,R,,,,,pec(UG),75039 79229,,,,,Lit.,UG,V0496 Aur
10319,PU    And *,11.3533333,40.8033333,0.756888887,EB,24.2,24.93,24.4,B,46350.83,,0.5685,,,70004,#NULL!,,,,GCVS,EC,PU    And
80813,V0813 Aur,109.9538333,40.8921667,7.330255553,UG,16.7,21.5,,*,,,,,,81118 81118,,0.000  0.000,2003.839,,SDSS,,V0813 Aur
311612,V1612 Cyg,315.88875,41.1911111,21.05925,UV,16.2,20.5,,p,,,,,,07948 2MASS,,,2000.379,,2MASS,,V1612 Cyg
10256,KW    And,38.825,41.2339167,2.588333333,UG,14.8,22,,p,,,,,pec(UG),08197 72085,,,1951.973,,A2.0,UG,KW    And
10225,HY    And *,10.6343333,41.6709444,0.708955553,UV,18.2,20.3,,B,,,,,,N0082 07737,#NULL!,,1998.895,,2MASS,UV,HY    And
400762,V0762 Her,259.6472083,41.6997222,17.30981389,IA,19.5,20.5,,B,,,,,,08474 08474,,,1953.452,,A2.0,,V0762 Her
400764,V0764 Her,260.0201667,41.7955278,17.33467778,IA,18.7,20.1,,B,,,,,,08474 08474,,,1953.452,,A2.0,,V0764 Her
10267,LS    And *,8.0425833,41.9698889,0.53617222,NA,11.7,20.2,,B,41188,1971,,,,67003 72118,#NULL!,,1953.775,,A2.0,N,LS    And
400763,V0763 Her,259.645625,42.1905,17.30970833,IA,19,20.6,,B,,,,,,08474 08474,,,1953.452,,A2.0,,V0763 Her
10500,V0500 And *,10.6104167,42.2601944,0.707361113,UGSU,14.5,20.5,,*,,,,,pec(UG),80233,,,2008.908,,Lit.,UGWZ,V0500 And
400760,V0760 Her,259.33875,42.4078611,17.28925,IA,19.2,20.1,,B,,,,,,08474 08474,,,1954.517,,A2.0,,V0760 Her
10243,IZ    And,16.7660833,42.7201111,1.117738887,UG,15.4,20.5,,p,,,,,OB,N0086 72085,,,1989.76,,GSC2.2,UG,IZ    And
400766,V0766 Her,260.425625,42.7424722,17.36170833,IA,19.3,20.4,,B,,,,,,08474 08474,,,1953.452,,A2.0,,V0766 Her
400756,V0756 Her,258.0305833,42.8291667,17.20203889,IA,19.4,20.6,,B,,,,,,08474 08474,,,1954.517,,A2.0,,V0756 Her
311613,V1613 Cyg,316.0271667,43.5898611,21.06847778,UVN,15.9,21.5,,U,,,,,,07948 2MASS,,,1999.437,,2MASS,,V1613 Cyg
400754,V0754 Her,257.5087917,43.9651111,17.16725278,IA,18.2,20.8,,B,,,,,,08474 08474,,,1954.517,,A2.0,,V0754 Her
80808,V0808 Aur *,107.858375,44.0681111,7.190558333,AM+EA,14.8,21.4,,V,,,,,wd+dM,81115 USNO,,,1998.295,,2MASS,,V0808 Aur
400758,V0758 Her,258.5580833,44.1236944,17.23720555,IA,18.9,20.1,,B,,,,,,08474 08474,,,1954.517,,A2.0,,V0758 Her
400755,V0755 Her,258.0115833,44.2269444,17.20077222,IA,19.4,20.3,,B,,,,,,08474 08474,,,1954.517,,A2.0,,V0755 Her
400765,V0765 Her,260.1549167,44.3564167,17.34366111,IA,19.5,20.3,,B,,,,,,08474 08474,,,1953.452,,A2.0,,V0765 Her
830067,AN    UMa *,166.106875,45.0538333,11.07379167,E+XRM,14.9,20.2,,B,42891.397,,0.0797522,,pec(e+cont),09871 09472,,-0.062,2000,,NPM,,AN    UMa
90314,PP    Boo,228.558625,45.8202778,15.23724167,NL,20.2,20.5,,g,,,,,pec(e),80030 79229,,,1953.203,,A2.0,CV,PP    Boo
312466,V2466 Cyg,330.6743333,46.6519167,22.04495555,UGSU,15.7,21,,B,,,,,,78297 78297,,,1974.692,,Lit.,,V2466 Cyg
311500,V1500 Cyg *,317.9025417,48.1506667,21.19350278,NA,1.69,21,,V,42655,1975,,,pec(Nova),09173 07464,,,1990.645,,GCVS,,V1500 Cyg
830319,PU    UMa *,135.266375,48.1532778,9.017758333,UG+EA,16.2,21.2,,*,53773.4875,,0.0778805,10,pec(UG),80030 80027,,,1954.18,,A2.0,,PU    UMa
180712,V0712 Cas *,9.6116667,48.3358333,0.64077778,E,24.48,25.41,,g,47036.769,,0.7225,,,73075 73075,,,1987,,GCVS,E,V0712 Cas
180713,V0713 Cas *,9.6141667,48.3644444,0.640944447,E,24.55,25.59,,g,46731.69,,0.51423,,,73075 73075,,,1987,,GCVS,E,V0713 Cas
180711,V0711 Cas *,9.5983333,48.3819444,0.639888887,E,25.02,26.19,,g,47035.866,,0.36077,,,73075 73075,,,1987,,GCVS,E,V0711 Cas
180717,V0717 Cas *,9.7391667,48.4069444,0.64927778,RRC,24.28,25.33,,g,47034.94,,0.21599,,,73075 73075,,,1987,,GCVS,RR1,V0717 Cas
180715,V0715 Cas *,9.725,48.4211111,0.648333333,E,24.32,25.44,,g,47036.769,,0.71358,,,73075 73075,,,1987,,GCVS,E,V0715 Cas
180714,V0714 Cas *,9.6145833,48.4388889,0.64097222,E,24.46,25.32,,g,46733.725,,0.29863,,,73075 73075,,,1987,,GCVS,E,V0714 Cas
180719,V0719 Cas *,9.7441667,48.4494444,0.649611113,E,24.3,25.33,,g,46733.62,,0.62853,,,73075 73075,,,1987,,GCVS,E,V0719 Cas
180716,V0716 Cas *,9.7391667,48.4519444,0.64927778,E,24.17,25.08,,g,,,0.73948,,,73075 73075,,,1987,,GCVS,E,V0716 Cas
180718,V0718 Cas *,9.7408333,48.4588889,0.649388887,E,24.22,25.2,,g,47035.87,,1.33835,,,73075 73075,,,1987,,GCVS,E,V0718 Cas
130198,GP    CVn *,186.9195833,51.6570556,12.46130555,UGSU+EA,14.5,21.4,,*,,,,,DA+M,81153 81153,,0.000  0.000,1953.29,,A20,,GP    CVn
312070,V2070 Cyg,321.667,52.3189167,21.44446667,LB,19.1,20.2,,B,,,,,,73134 73134,,,1991.762,,GCVS,,V2070 Cyg
830165,EV    UMa,196.9744167,53.8584444,13.13162778,AM,17,21,,V,,,,,,72171 72218,,,1999.193,,2MASS,,EV    UMa
630159,EP    Per,43.7983333,54.4295833,2.919888887,M,15.5,21,,p,29174,,262,,,00911 02347,,,1993.94,,GSC2.2,,EP    Per
830019,SS    UMa,210.51125,54.4658333,14.03408333,SN,13.5,20.8,,B,18359,1909,,,,V 436 V 436,#NAME?,,1909.143,,Lit.,,SS    UMa
181215,V1215 Cas *,359.2384583,56.5676111,23.94923055,EA,21.1,21.5,21.5,r',51798.4653,,2.621486,2,,00001 80614,,,1999.5,,Lit.,EA,V1215 Cas
181221,V1221 Cas *,359.3550833,56.5769444,23.95700555,EW,19.49,20.2,19.95,V,,,0.2789,,,80004 80004,,,1952.953,,A2.0,EC,V1221 Cas
181237,V1237 Cas *,359.6640833,56.6124167,23.97760555,EA/RS,20.51,20.99,,r',51808.7056,,0.450285,14,,80614 80614,,,1999.5,,Lit.,EA+RS,V1237 Cas
181198,V1198 Cas *,358.9955417,56.6748889,23.93303611,EA,20.1,20.7,,r',51798.5229,,,,,80614 80614,,,1999.5,,Lit.,EA,V1198 Cas
181201,V1201 Cas *,359.0345833,56.6927778,23.93563889,UV,18,22,,V,,,,,,80004 80004,,,1992.8,,Lit.,UV,V1201 Cas
181196,V1196 Cas *,358.8267083,56.7206389,23.92178055,EA/RS,19.92,20.2,20.2,r',51800.6104,,0.904404,,,80614 80614,,,1999.5,,Lit.,EA+RS,V1196 Cas
181230,V1230 Cas *,359.5557083,56.7600278,23.97038055,EA,20.4,20.58,20.46,r',51807.1193,,1.074,6,,80614 80614,,,1999.5,,Lit.,EA,V1230 Cas
181203,V1203 Cas *,359.0490417,56.7654444,23.93660278,EA/RS,20.05,20.62,20.2,r',51807.2607,,1.531,6,,80614 80614,,,1999.5,,Lit.,EA+RS,V1203 Cas
181232,V1232 Cas *,359.6139167,56.7767778,23.97426111,E,20.86,20.99,,r',51807.5492,,,,,80614 80614,,,1999.5,,Lit.,E,V1232 Cas
181226,V1226 Cas *,359.43775,56.9268333,23.96251667,EA,20.7,20.8,,r',51806.4638,,,,,80614 80614,,,1999.5,,Lit.,EA,V1226 Cas
181222,V1222 Cas *,359.3749583,56.9595278,23.95833055,EA/RS,20.25,20.6,20.5,r',51801.1921,,0.902117,7,,80614 80614,,,1999.5,,Lit.,EA+RS,V1222 Cas
181037,V1037 Cas *,7.2627083,59.5719167,0.484180553,*,17.2,22,,i',,,,,,N0475 80040,,,2006,,Lit.,Xlm,V1037 Cas
180220,HT    Cas *,17.554,60.07675,1.170266667,UGSU+EA,10.7,20.12,,V,43727.93729,,0.073647203,10,pec(UG)+M5,N0344 72085,,,1952.71,,A2.0,UGSU+EA,HT    Cas
830427,V0427 UMa,209.1767083,61.50675,13.94511389,UG,15.5,20.3,,CV,,,,,,81155 USNO,,0.000  0.000,1996.149,,G23,,V0427 UMa
180955,V0955 Cas,357.9049583,63.0102778,23.86033055,M,15.7,22,,I,50046,,575,,,76006 2MASS,,,1992.741,,GSC2.2,M,V0955 Cas
110274,LZ    Cam,56.9373333,63.4736389,3.79582222,EW,19.5,20.61,20.2,V,51871.186,,0.326171,,,78059 78059,,,1954.013,,A2.0,EC,LZ    Cam
180710,V0710 Cas *,9.1916667,63.4813611,0.61277778,FU,18.6,21.6,,V,,,,,F8II,73074 2MASS,,,1998.668,,2MASS,TT,V0710 Cas
200350,V0350 Cep,325.7500417,66.1911111,21.71666945,INT,17,21,,p,,,,,e(T),08381 08381,,,1999.742,,2MASS,,V0350 Cep
200709,V0709 Cep,344.538,66.3534444,22.9692,N,12.63,20.6,,*,,,,,,77206 77207,,,2001.719,,Lit.,,V0709 Cep
340309,OV    Dra *,192.599375,66.92375,12.83995833,EA,19,20.7,,*,53407.55966,,0.0587357,6,pec(e),80030 USNO,,-0.026  0.001,2000,,SDSS,,OV    Dra
110528,V0528 Cam,56.2115,68.63125,3.747433333,UG,14.9,21,,*,,,,,pec,81062 81062,,0.000  0.000,1993.733,,G23,,V0528 Cam
181180,V1180 Cas *,38.256375,72.7241667,2.550425,INT,14.59,21,,Ic,,,,,K7-M0e,80430 80430,,-0.008,2000,,SDSS,TT,V1180 Cas
840015,RW    UMi,251.9784167,77.03675,16.79856111,NA,6,21,,p,35741,1956,,,pec(Nova),04204 04205,,,1996.533,,GSC2.2,,RW    UMi
